	CUST_NO	XCOORD	YCOORD	DEMAND	READY_TIME	DUE_TIME	SERVICE_TIME	PROFIT
0	1	29.0	24.0	0.0	0.0	862.0	0.0	14.36248302667995
1	2	1.0	28.0	0.0	273.0	289.0	0.0	5.232622777556651
2	3	25.0	19.0	0.0	2.0	61.0	0.0	38.084830261592245
3	4	1.0	33.0	0.0	278.0	318.0	0.0	10.49695333096436
4	5	29.0	36.0	0.0	447.0	481.0	0.0	16.265067978372663
5	6	19.0	37.0	0.0	463.0	569.0	0.0	3.92901254876049
6	7	31.0	18.0	0.0	0.0	63.0	0.0	49.18779653786636
7	8	43.0	25.0	0.0	384.0	451.0	0.0	40.36170599580368
8	9	34.0	7.0	0.0	47.0	126.0	0.0	47.277850221918875
9	10	40.0	20.0	0.0	89.0	126.0	0.0	49.349226692263564
10	11	18.0	1.0	0.0	138.0	190.0	0.0	11.504348315211788
11	12	6.0	1.0	0.0	148.0	207.0	0.0	38.6413177987612
12	13	16.0	37.0	0.0	234.0	271.0	0.0	25.692193048853305
13	14	13.0	28.0	0.0	218.0	246.0	0.0	36.24527149230891
14	15	49.0	6.0	0.0	63.0	144.0	0.0	34.44687064157596
15	16	18.0	1.0	0.0	116.0	201.0	0.0	44.64201818610834
16	17	28.0	47.0	0.0	453.0	516.0	0.0	48.669557847738304
17	18	30.0	14.0	0.0	28.0	45.0	0.0	44.941139354060546
18	19	4.0	31.0	0.0	254.0	297.0	0.0	38.716285208543496
19	20	23.0	15.0	0.0	0.0	72.0	0.0	30.77650775260668
20	21	40.0	40.0	0.0	493.0	548.0	0.0	25.82326677089028
21	22	20.0	6.0	0.0	105.0	164.0	0.0	47.873877598771166
22	23	19.0	44.0	0.0	475.0	518.0	0.0	47.10436666060105
23	24	47.0	32.0	0.0	367.0	473.0	0.0	19.31401558724644
24	25	26.0	25.0	0.0	0.0	43.0	0.0	41.15915983271364
25	26	37.0	40.0	0.0	402.0	470.0	0.0	2.103303832160982
26	27	15.0	19.0	0.0	164.0	239.0	0.0	17.292192542414387
27	28	10.0	14.0	0.0	204.0	272.0	0.0	16.22543077196356
28	29	40.0	9.0	0.0	8.0	106.0	0.0	26.813828762342176
29	30	44.0	16.0	0.0	68.0	120.0	0.0	4.3066887357512815
30	31	25.0	42.0	0.0	439.0	505.0	0.0	23.624880586601407
31	32	29.0	33.0	0.0	437.0	497.0	0.0	28.346690496323582
32	33	39.0	14.0	0.0	111.0	156.0	0.0	34.28030166819359
33	34	39.0	21.0	0.0	93.0	172.0	0.0	14.3028810557697
34	35	11.0	33.0	0.0	195.0	260.0	0.0	36.72486715462165
35	36	16.0	33.0	0.0	253.0	293.0	0.0	32.96690837725929
36	37	47.0	8.0	0.0	67.0	127.0	0.0	21.140034791153823
37	38	26.0	26.0	0.0	0.0	52.0	0.0	26.54758283335248
38	39	28.0	33.0	0.0	479.0	563.0	0.0	6.6307224598008165
39	40	21.0	2.0	0.0	165.0	220.0	0.0	24.069831082606413
40	41	15.0	2.0	0.0	341.0	384.0	0.0	13.676045337414145
41	42	27.0	42.0	0.0	482.0	515.0	0.0	6.635484290592411
42	43	27.0	21.0	0.0	0.0	56.0	0.0	21.32421994302948
43	44	18.0	22.0	0.0	207.0	264.0	0.0	17.269340327339723
44	45	24.0	23.0	0.0	0.0	15.0	0.0	5.58428979497982
45	46	40.0	4.0	0.0	6.0	60.0	0.0	20.06230679558652
46	47	9.0	36.0	0.0	231.0	287.0	0.0	14.153623469888991
47	48	35.0	34.0	0.0	395.0	487.0	0.0	25.24739013615716
48	49	32.0	4.0	0.0	344.0	418.0	0.0	49.60253061123806
49	50	43.0	17.0	0.0	73.0	152.0	0.0	18.870795763900738
50	51	15.0	30.0	0.0	188.0	278.0	0.0	3.906453265968183
51	52	24.0	18.0	0.0	0.0	55.0	0.0	31.25908397075842
52	53	15.0	33.0	0.0	227.0	296.0	0.0	41.62687466335592
53	54	34.0	29.0	0.0	418.0	483.0	0.0	5.373042296571942
54	55	15.0	29.0	0.0	196.0	285.0	0.0	24.461301446109463
55	56	33.0	48.0	0.0	505.0	583.0	0.0	14.65468998824202
56	57	48.0	37.0	0.0	419.0	443.0	0.0	37.86440984829401
57	58	26.0	10.0	0.0	614.0	684.0	0.0	18.23894648867992
58	59	39.0	22.0	0.0	109.0	126.0	0.0	48.743142744123396
59	60	11.0	11.0	0.0	278.0	358.0	0.0	27.038040627552988
60	61	36.0	21.0	0.0	96.0	135.0	0.0	41.77505295001156
61	62	24.0	15.0	0.0	131.0	203.0	0.0	17.966118223368532
62	63	2.0	14.0	0.0	289.0	335.0	0.0	28.732657066453516
63	64	17.0	47.0	0.0	504.0	532.0	0.0	20.899675123600275
64	65	36.0	35.0	0.0	444.0	512.0	0.0	29.69855989080261
65	66	6.0	1.0	0.0	313.0	363.0	0.0	45.42062504766759
66	67	19.0	46.0	0.0	516.0	598.0	0.0	18.399081637625276
67	68	18.0	11.0	0.0	304.0	357.0	0.0	38.93563643032475
68	69	20.0	2.0	0.0	165.0	211.0	0.0	43.44474833241675
69	70	39.0	26.0	0.0	714.0	787.0	0.0	12.177144091533506
70	71	26.0	39.0	0.0	442.0	530.0	0.0	17.95684387529591
71	72	27.0	43.0	0.0	438.0	511.0	0.0	8.128957132873417
72	73	36.0	20.0	0.0	386.0	420.0	0.0	22.59799473657537
73	74	46.0	7.0	0.0	70.0	112.0	0.0	5.288623468658066
74	75	24.0	4.0	0.0	146.0	197.0	0.0	41.24715059549713
75	76	44.0	20.0	0.0	111.0	151.0	0.0	14.240918868203288
76	77	9.0	34.0	0.0	217.0	304.0	0.0	24.419605370910357
77	78	14.0	0.0	0.0	175.0	229.0	0.0	21.281769451401217
78	79	41.0	17.0	0.0	65.0	102.0	0.0	15.644286240590928
79	80	31.0	20.0	0.0	102.0	158.0	0.0	38.58310689606082
80	81	42.0	20.0	0.0	75.0	143.0	0.0	31.691953805748035
81	82	40.0	0.0	0.0	20.0	74.0	0.0	36.649651302562845
82	83	15.0	21.0	0.0	268.0	342.0	0.0	16.582771825772724
83	84	38.0	2.0	0.0	24.0	131.0	0.0	41.91983920360537
84	85	50.0	43.0	0.0	400.0	476.0	0.0	43.776874976699105
85	86	34.0	11.0	0.0	0.0	100.0	0.0	30.296188680591957
86	87	40.0	41.0	0.0	422.0	472.0	0.0	20.63916995484942
87	88	20.0	10.0	0.0	127.0	217.0	0.0	10.266309673363745
